publication,firstName,lastName,networkId,rank
https://scholars.uow.edu.au/display/publication37412,Xuebin,Yu,xyu,3
https://scholars.uow.edu.au/display/publication103772,Valerie,Harwood,vharwood,4
https://scholars.uow.edu.au/display/publication125079,Isabel,Ferreira,isabelf,1
https://scholars.uow.edu.au/display/publication26364,Zhixin ,Chen,zchen,5
https://scholars.uow.edu.au/display/publication26364,Guoxiu,Wang,gwang,1
https://scholars.uow.edu.au/display/publication39100,Andrew,Jenner,ajenner,1
https://scholars.uow.edu.au/display/publication67130,John,Rossiter,jrossite,1
https://scholars.uow.edu.au/display/publication103055,Wilma,Vialle,wvialle,3
https://scholars.uow.edu.au/display/publication16891,Song-Ping,Zhu ,spz,1
https://scholars.uow.edu.au/display/publication89040,Jun,Shen,jshen,2
https://scholars.uow.edu.au/display/publication63031,Wendy,Nielsen,wnielsen,2
https://scholars.uow.edu.au/display/publication76476,Mario,Fernando,mariof,2
https://scholars.uow.edu.au/display/publication35911,Rodney,Croft,rcroft,3
https://scholars.uow.edu.au/display/publication29320,C,Zhang,czhang,4
https://scholars.uow.edu.au/display/publication26699,Cholachat,Rujikiatkamjorn,cholacha,2
https://scholars.uow.edu.au/display/publication26699,Buddhima,Indraratna,indra,1
https://scholars.uow.edu.au/display/publication26699,J,Vinod,vinod,3
https://scholars.uow.edu.au/display/publication23784,Brian,Jones,briangj,3
https://scholars.uow.edu.au/display/publication73149,Richard,Roberts,rgrob,11
https://scholars.uow.edu.au/display/publication48630,Sam,Marx,smarx,1
https://scholars.uow.edu.au/display/publication124998,Joel,Rhee,jrhee,3
https://scholars.uow.edu.au/display/publication101440,Siobhan,McHugh,smchugh,1
https://scholars.uow.edu.au/display/publication97204,Zhenxiang,Cheng,cheng,4
https://scholars.uow.edu.au/display/publication110562,Georgios,Kokogiannakis,gkg,3
https://scholars.uow.edu.au/display/publication106775,Todd,Mitchell,toddm,5
https://scholars.uow.edu.au/display/publication106775,Sarah,Hancock,snorris,3
https://scholars.uow.edu.au/display/publication127617,Nicolas,Verstaevel,nicolasv,2
https://scholars.uow.edu.au/display/publication48190,Sam,Marx,smarx,1
https://scholars.uow.edu.au/display/publication38145,Christopher,Cook,ccook,3
https://scholars.uow.edu.au/display/publication38145,Zhengyi,Jiang,jiang,2
https://scholars.uow.edu.au/display/publication113911,Christine,Eriksen,ceriksen,1
https://scholars.uow.edu.au/display/publication91623,Hua,Liu,hua,4
https://scholars.uow.edu.au/display/publication91623,Hua-Kun,Liu,hua,4
https://scholars.uow.edu.au/display/publication91623,Shi,Dou,shi,5
https://scholars.uow.edu.au/display/publication91623,S,Dou,shi,5
https://scholars.uow.edu.au/display/publication91623,Yunxiao,Wang,yunxiao,1
https://scholars.uow.edu.au/display/publication91623,David,Wexler,davidw,3
https://scholars.uow.edu.au/display/publication91623,Shulei ,Chou,shulei,2
https://scholars.uow.edu.au/display/publication123715,Stacy,Carter,stacyc,1
https://scholars.uow.edu.au/display/publication109078,Weihua,Li,weihuali,3
https://scholars.uow.edu.au/display/publication109078,Gursel,Alici,gursel,4
https://scholars.uow.edu.au/display/publication89980,Belinda,Goodenough,belgood,2
https://scholars.uow.edu.au/display/publication89980,Richard,Fleming,rfleming,7
https://scholars.uow.edu.au/display/publication38220,Fred,Paas,fredp,4
https://scholars.uow.edu.au/display/publication100681,Tran Vu,Khanh,tkhanh,1
https://scholars.uow.edu.au/display/publication101838,Joakim,Eidenfalk,joakim,2
https://scholars.uow.edu.au/display/publication111090,Karen,Luna Ramirez,ramirezk,1
https://scholars.uow.edu.au/display/publication95038,Adam,Clarke,aclarke,2
https://scholars.uow.edu.au/display/publication95038,Robert,Barry,rbarry,3
https://scholars.uow.edu.au/display/publication125840,Annette,Braunack-Mayer,abmayer,2
https://scholars.uow.edu.au/display/publication117421,Philip,Ogunbona,philipo,6
https://scholars.uow.edu.au/display/publication3538,John,Patterson,patto,2
https://scholars.uow.edu.au/display/publication92214,Lisa,Thomas,lkosta,1
https://scholars.uow.edu.au/display/publication117359,Glenn,Sant,gsant,1
https://scholars.uow.edu.au/display/publication114605,Tim,Cohen,tcohen,4
https://scholars.uow.edu.au/display/publication100809,Jung Ho,Kim,jhk,9
https://scholars.uow.edu.au/display/publication94343,Iram,Siraj-Blatchford,iram,5
https://scholars.uow.edu.au/display/publication94343,Ted,Melhuish,melhuish,1
https://scholars.uow.edu.au/display/publication99101,Mojtaba,Kan,mojtaba,1
https://scholars.uow.edu.au/display/publication114790,Alexander,Harris,alexh,2
https://scholars.uow.edu.au/display/publication94075,Antoine,van Oijen,vanoijen,7
https://scholars.uow.edu.au/display/publication79257,Liz,Halcomb,ehalcomb,1
